"algor","algor_props_alpha","algor_props_beta","algor_props_clustercount","algor_props_distance","algor_props_hypersvaryonquery","algor_props_iterations","algor_props_kmeans_distance","algor_props_kmeans_iterations","algor_props_proposalstdev","algor_props_samplehypers","algor_props_usekmeans","burn_in","cat_groups","chain_count","clusters","command","cross_folds","dataset","dict_size","iters","job","max_word","min_freq","min_word","output_file","sample_lag","seed","start_time","stem","stop","overall","perplexity","run_time_mins"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","8","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-5.log","20","314159265","2013/03/06 15:33:58","True","True","1923.2778524907062","1923.2778524907062","147.66666666790843"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","10","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-6.log","20","314159265","2013/03/06 15:35:29","True","True","1929.4766158721325","1929.4766158721325","87.18333333358169"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","12","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-7.log","20","314159265","2013/03/06 15:35:58","True","True","1925.0735578374035","1925.0735578374035","137.16666666790843"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","15","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-8.log","20","314159265","2013/03/06 15:36:23","True","True","1922.2033571109446","1922.2033571109446","172.75"
"MultinomialMixtureGibbs","0.1","0.01","","","","","","","","","","2000","=1740","1","20","topic","3","nips","50000","6000","","","","","nips-momgibbs-job-9.log","20","314159265","2013/03/06 15:38:49","True","True","1930.0548791030967","1930.0548791030967","295.94999999925494"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","2","topic","3","nips","50000","400","","","","","nips-momvb-job-0.log","","314159265","2013/03/06 15:57:36","True","True","1897.1242757149626","1897.1242757149626","3.66666666418314"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","3","topic","3","nips","50000","400","","","","","nips-momvb-job-1.log","","314159265","2013/03/06 15:58:50","True","True","1872.6994991924896","1872.6994991924896","13.233333334326744"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","25","topic","3","nips","50000","400","","","","","nips-momvb-job-10.log","","314159265","2013/03/06 16:17:50","True","True","1848.6460443966555","1848.6460443966555","77.51666666939855"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","30","topic","3","nips","50000","400","","","","","nips-momvb-job-11.log","","314159265","2013/03/06 16:17:59","True","True","1896.1812721111398","1896.1812721111398","210.61666666716337"
"MultinomialMixtureCvb","1.1","1.01","","","","","","","","","","","=1740","","35","topic","3","nips","50000","400","","","","","nips-momvb-job-12.log","","314159265","2013/03/06 16:17:59","True","True","1838.3057450584836","1838.3057450584836","245.13333333283663"
