algor,clusters,dataset,iters,perplexity
MultinomialMixtureGibbs,50,nips,6000,1885.410735
MultinomialMixtureGibbs,60,nips,6000,1874.74407
MultinomialMixtureGibbs,70,nips,6000,1807.18387
MultinomialMixtureGibbs,80,nips,4000,1864.061378
MultinomialMixtureGibbs,80,nips,4000,1980.051154
MultinomialMixtureGibbs,90,nips,4000,1837.130574
MultinomialMixtureGibbs,90,nips,4000,1966.560806
MultinomialMixtureGibbs,100,nips,4000,1825.664548
MultinomialMixtureGibbs,100,nips,4000,1998.014789
MultinomialMixtureGibbs,125,nips,4000,1844.902716
MultinomialMixtureGibbs,125,nips,4000,1981.452241
MultinomialMixtureGibbs,150,nips,4000,1988.448213
MultinomialMixtureGibbs,150,nips,4000,1988.448213
MultinomialMixtureGibbs,175,nips,4000,1985.453645
MultinomialMixtureGibbs,200,nips,4000,1977.013764
MultinomialMixtureGibbs,200,nips,4000,1977.013764
MultinomialMixtureGibbs,250,nips,4000,1940.228615
MultinomialMixtureGibbs,250,nips,4000,1940.228615
MultinomialMixtureGibbs,2,reuters,4000,1424.340393
MultinomialMixtureGibbs,3,reuters,4000,1354.988565
MultinomialMixtureGibbs,4,reuters,4000,1342.30328
MultinomialMixtureGibbs,5,reuters,4000,1370.517625
MultinomialMixtureGibbs,6,reuters,4000,1349.843673
MultinomialMixtureGibbs,8,reuters,4000,1390.283878
MultinomialMixtureGibbs,10,reuters,4000,1422.168195
MultinomialMixtureGibbs,12,reuters,4000,1395.015733
MultinomialMixtureGibbs,15,reuters,4000,1422.916595
MultinomialMixtureGibbs,20,reuters,4000,1393.112112
MultinomialMixtureGibbs,25,reuters,4000,1412.935146
MultinomialMixtureGibbs,30,reuters,4000,1409.300954
MultinomialMixtureGibbs,35,reuters,4000,1407.379853
MultinomialMixtureGibbs,40,reuters,4000,1386.53233
MultinomialMixtureGibbs,50,reuters,4000,1397.511006
MultinomialMixtureGibbs,60,reuters,4000,1417.818228
MultinomialMixtureGibbs,70,reuters,4000,1398.037752
MultinomialMixtureGibbs,80,reuters,4000,1374.053113
MultinomialMixtureGibbs,90,reuters,4000,1378.335252
MultinomialMixtureGibbs,100,reuters,4000,1390.055377
MultinomialMixtureGibbs,125,reuters,4000,1352.07308
MultinomialMixtureGibbs,150,reuters,4000,1351.789589
MultinomialMixtureGibbs,175,reuters,4000,1342.475373
MultinomialMixtureGibbs,175,reuters,4000,1468.412885
MultinomialMixtureGibbs,200,reuters,4000,1343.423538
MultinomialMixtureGibbs,250,reuters,4000,1470.187352
MultinomialMixtureGibbs,250,reuters,4000,1470.187352
